iso3c,gdp
ABW,3103184102
AFE,1.08653E+12
AFG,14266499430
AFW,8.44928E+11
AGO,66505129989
ALB,17930565119
AND,3325143693
ARB,2.93048E+12
ARE,4.15179E+11
ARG,4.87903E+11
ARM,13878908629
ASM,750000000
ATG,1601366667
AUS,1.55903E+12
AUT,4.79295E+11
AZE,54825411765
BDI,2775798697
BEL,6.00749E+11
BEN,17687623535
BFA,19642668880
BGD,4.16265E+11
BGR,84041493016
BHR,39288670213
BHS,11527600000
BIH,23649568277
BLR,69673747132
BLZ,2424575179
BMU,7127200000
BOL,40406111695
BRA,1.64962E+12
BRB,4923100000
BRN,14006496617
BTN,2768003873
BWA,18737066311
CAF,2516498412
CAN,2.00747E+12
CEB,1.908E+12
CHE,8.13409E+11
CHI,11735662220
CHL,3.16581E+11
CHN,1.78205E+13
CIV,71811075955
CMR,44993521774
COD,55328482784
COG,14825708811
COL,3.18512E+11
COM,1296089479
CPV,1997866379
CRI,64960725734
CSS,76123490343
CUB,
CUW,2739594360
CYM,6028373513
CYP,29482917679
CZE,2.81791E+11
DEU,4.2785E+12
DJI,3385825229
DMA,555266666.7
DNK,4.05688E+11
DOM,94243425938
DZA,1.63472E+11
EAP,2.08392E+13
EAR,1.2717E+13
EAS,3.11413E+13
ECA,3.58012E+12
ECS,2.53249E+13
ECU,1.06166E+11
EGY,4.24672E+11
EMU,1.47547E+13
ERI,
ESP,1.44565E+12
EST,37191166152
ETH,1.11262E+11
EUU,1.73152E+13
FCS,1.7826E+12
FIN,2.9647E+11
FJI,4305031631
FRA,2.95936E+12
FRO,3655063938
FSM,406000000
GAB,20217946922
GBR,3.14151E+12
GEO,18629365612
GHA,79524421861
GIB,
GIN,16091817842
GMB,2038414969
GNB,1638517607
GNQ,12104994084
GRC,2.14668E+11
GRD,1122800000
GRL,3235809504
GTM,86053083476
GUM,6123000000
GUY,8041362110
HIC,6.02455E+13
HKG,3.68911E+11
HND,28488721681
HPC,9.01696E+11
HRV,69081236641
HTI,20877414953
HUN,1.8209E+11
IBD,3.56601E+13
IBT,3.82894E+13
IDA,2.63071E+12
IDB,1.0974E+12
IDN,1.18651E+12
IDX,1.53331E+12
IMN,
IND,3.15031E+12
INX,
IRL,5.13392E+11
IRN,3.59097E+11
IRQ,2.07692E+11
ISL,25595940170
ISR,4.88527E+11
ITA,2.15536E+12
JAM,14657586127
JOR,46296100141
JPN,5.03462E+12
KAZ,1.97112E+11
KEN,1.09704E+11
KGZ,9249133946
KHM,26961061152
KIR,227610079.1
KNA,858592592.6
KOR,1.81843E+12
KWT,1.37384E+11
LAC,4.66536E+12
LAO,18827148529
LBN,23131941557
LBR,3509000000
LBY,39798423941
LCA,1961111111
LCN,5.55334E+12
LDC,1.26534E+12
LIC,4.65047E+11
LIE,7710380086
LKA,88548049121
LMC,7.5956E+12
LMY,3.65777E+13
LSO,2348771013
LTE,2.68412E+13
LTU,66798933786
LUX,85584105994
LVA,39443126174
MAC,30969334705
MAF,649206262.8
MAR,1.41818E+11
MCO,8626081321
MDA,13692230147
MDG,14554754117
MDV,5254366310
MEA,3.7416E+12
MEX,1.31256E+12
MHL,257784881.6
MIC,3.61104E+13
MKD,13998355971
MLI,19309463508
MLT,18087205251
MMR,66262813093
MNA,1.50106E+12
MNE,5861427505
MNG,15286441738
MNP,
MOZ,16168056389
MRT,9222536364
MUS,11484357948
MWI,12602334122
MYS,3.73832E+11
NAC,2.53297E+13
NAM,12446290855
NCL,10071349664
NER,14915002436
NGA,4.40839E+11
NIC,14145880399
NLD,1.02968E+12
NOR,5.03368E+11
NPL,36924841429
NRU,145536615.9
NZL,2.55552E+11
OED,5.86238E+13
OMN,88191977373
OSS,4.57104E+11
PAK,3.48517E+11
PAN,67406738100
PER,2.23718E+11
PHL,3.94087E+11
PLW,232903015.6
PNG,26113333245
POL,6.81346E+11
PRE,1.43281E+12
PRI,1.06369E+11
PRK,
PRT,2.55535E+11
PRY,39950899939
PSE,18109000000
PSS,9500154100
PST,5.53011E+13
PYF,6150640646
QAT,1.79732E+11
ROU,2.8581E+11
RUS,1.83689E+12
RWA,11054517346
SAS,4.06285E+12
SAU,8.74156E+11
SDN,34229513774
SEN,27569136730
SGP,4.23797E+11
SLB,1580303515
SLE,4249234704
SLV,29451240000
SMR,1855382833
SOM,9838711529
SRB,63101069561
SSA,1.93017E+12
SSD,
SSF,1.93146E+12
SST,5.42727E+11
STP,524402450.8
SUR,3081401726
SVK,1.18576E+11
SVN,61832201544
SWE,6.39715E+11
SWZ,4850842572
SXM,1353071060
SYC,1286687308
SYR,8969512933
TCA,1044778790
TCD,11779981333
TEA,2.08132E+13
TEC,4.61636E+12
TGO,8443112143
THA,5.05568E+11
TJK,8937805347
TKM,50007428571
TLA,5.28132E+12
TLS,3621958000
TMN,1.48295E+12
TON,469228219.7
TSA,4.06285E+12
TSS,1.93146E+12
TTO,24496505941
TUN,46687293140
TUR,8.19865E+11
TUV,60196405.71
TZA,70655628148
UGA,40510241366
UKR,1.99766E+11
UMC,2.85158E+13
URY,61412268249
USA,2.33151E+13
UZB,69600614987
VCT,872222222.2
VEN,
VGB,
VIR,4444000000
VNM,3.66138E+11
VUT,971636097.9
WLD,9.71532E+13
WSM,843923638.7
XKX,9412034299
YEM,
ZAF,4.20118E+11
ZMB,22096416934
ZWE,28371238666