iso3c,gnipc
ABW,30180
AFE,1468.739907
AFG,380
AFW,1747.663362
AGO,1640
ALB,6100
AND,44350
ARB,6284.445389
ARE,43590
ARG,9980
ARM,4850
ASM,
ATG,16430
AUS,57240
AUT,53150
AZE,4910
BDI,220
BEL,51060
BEN,1330
BFA,830
BGD,2570
BGR,11050
BHR,24720
BHS,27870
BIH,6900
BLR,7040
BLZ,6040
BMU,120020
BOL,3290
BRA,7850
BRB,16710
BRN,30320
BTN,3290
BWA,6900
CAF,480
CAN,48800
CEB,17654.01206
CHE,90810
CHI,
CHL,14800
CHN,11950
CIV,2470
CMR,1590
COD,560
COG,2220
COL,6220
COM,1580
CPV,3340
CRI,12380
CSS,9736.754602
CUB,
CUW,18060
CYM,62000
CYP,29490
CZE,24530
DEU,52050
DJI,3160
DMA,7790
DNK,69780
DOM,8100
DZA,3680
EAP,9339.626864
EAR,3606.939995
EAS,12835.60826
ECA,8473.91553
ECS,26745.30998
ECU,5960
EGY,3520
EMU,42021.63409
ERI,
ESP,30090
EST,26270
ETH,940
EUU,38095.62504
FCS,1766.072484
FIN,53270
FJI,4490
FRA,43810
FRO,69840
FSM,4020
GAB,6440
GBR,45550
GEO,4700
GHA,2280
GIB,
GIN,990
GMB,740
GNB,760
GNQ,5190
GRC,20010
GRD,8410
GRL,
GTM,4930
GUM,
GUY,9340
HIC,48498.87379
HKG,54370
HND,2480
HPC,1003.998204
HRV,17750
HTI,1440
HUN,17740
IBD,6951.973406
IBT,5474.717861
IDA,1457.490694
IDB,1848.022335
IDN,4170
IDX,1264.666216
IMN,
IND,2150
INX,
IRL,76270
IRN,3510
IRQ,4670
ISL,63180
ISR,49350
ITA,36420
JAM,5190
JOR,4210
JPN,43670
KAZ,8880
KEN,2080
KGZ,1280
KHM,1580
KIR,2740
KNA,18430
KOR,35200
KWT,34850
LAC,7694.393296
LAO,2510
LBN,4970
LBR,630
LBY,7880
LCA,10280
LCN,8185.89757
LDC,1141.256114
LIC,669.6742094
LIE,
LKA,4000
LMC,2318.870687
LMY,5294.299993
LSO,1170
LTE,10964.05775
LTU,21850
LUX,87610
LVA,19910
MAC,46350
MAF,
MAR,3620
MCO,
MDA,5270
MDG,490
MDV,9350
MEA,7418.544763
MEX,9920
MHL,6520
MIC,5828.105965
MKD,6280
MLI,820
MLT,30770
MMR,1230
MNA,3404.122357
MNE,9370
MNG,3730
MNP,
MOZ,450
MRT,1860
MUS,10280
MWI,620
MYS,10740
NAC,69070.81656
NAM,4660
NCL,37370
NER,590
NGA,2160
NIC,1970
NLD,58170
NOR,81670
NPL,1230
NRU,18010
NZL,45770
OED,42789.55082
OMN,17960
OSS,12893.22516
PAK,1470
PAN,14590
PER,6420
PHL,3550
PLW,13420
PNG,2430
POL,16910
PRE,1393.363672
PRI,22460
PRK,
PRT,23960
PRY,5740
PSE,4270
PSS,3783.246197
PST,49750.65548
PYF,
QAT,62400
ROU,14190
RUS,11760
RWA,840
SAS,2074.07295
SAU,24030
SDN,650
SEN,1560
SGP,63000
SLB,2290
SLE,510
SLV,4360
SMR,47120
SOM,580
SRB,8470
SSA,1580.682878
SSD,
SSF,1581.660193
SST,11787.90762
STP,2210
SUR,4490
SVK,20670
SVN,28370
SWE,60700
SWZ,3740
SXM,30830
SYC,13210
SYR,560
TCA,23010
TCD,660
TEA,9443.449395
TEC,9476.479591
TGO,950
THA,7090
TJK,1160
TKM,
TLA,8068.760783
TLS,2390
TMN,3393.85234
TON,4930
TSA,2074.07295
TSS,1581.660193
TTO,14850
TUN,3560
TUR,10010
TUV,6830
TZA,1120
UGA,850
UKR,4110
UMC,9819.670875
URY,16180
USA,71390
UZB,1980
VCT,8490
VEN,
VGB,
VIR,
VNM,3590
VUT,3420
WLD,12115.69226
WSM,3820
XKX,5130
YEM,
ZAF,6540
ZMB,1140
ZWE,1530