"","iso3c","lg_pp_low","lg_pp_med","lg_pp_high"
"1","AFG",0.0553805037222739,0.0597493773101808,0.063053508381112
"2","AGO",0.0775745812544071,0.0829821620383593,0.0903572585967317
"3","ALB",0.0847019489420416,0.10324302399391,0.114861487179309
"4","ARE",0.028403015630799,0.0314474493861223,0.0370132148117
"5","ARG",0.0479154791975723,0.0560132212033785,0.065786918905069
"6","ARM",0.0856384435404018,0.0972028028408299,0.104997943584428
"7","ATG",0.0797856232220681,0.092635419152303,0.145043637428107
"8","AUS",0.0752311391921798,0.0954454285675624,0.152476618462893
"9","AUT",0.0945584502997797,0.100389554286587,0.10925548935743
"10","AZE",0.0977687312570554,0.108791849824987,0.114183030721534
"11","BDI",0.000321437195870208,0.00130781733651738,0.00221597676755995
"12","BEL",0.166807264111242,0.258653063567794,0.346767021718437
"13","BEN",0.0245271175790267,0.0289755727614503,0.0338802193908743
"14","BFA",0.0572977858304807,0.0648795602605447,0.0807762231808555
"15","BGD",0.0509341343891431,0.059215525931298,0.0733471863569649
"16","BGR",0.157199167420604,0.187576935439988,0.204637047547112
"17","BHR",0.0345475635915744,0.0388033725648894,0.0472473721151829
"18","BHS",0.095607301551764,0.112693415607785,0.123731255871165
"19","BIH",0.111474302336748,0.133233735186472,0.152157245196421
"20","BLR",0.0879302491216473,0.101974442398247,0.123690137870032
"21","BLZ",0.073718487110327,0.0919884332846457,0.101234731081436
"22","BOL",0.049872104328599,0.0572384296456979,0.0628331687977601
"23","BRA",0.0877591846371889,0.100056835074715,0.106717992750802
"24","BRB",0.0473773886750881,0.0697907313429347,0.0946443777811682
"25","BRN",0.0639334230150236,0.075030256314372,0.0954830080217587
"26","BTN",0.0742084600667405,0.0797472709620175,0.0858681524330513
"27","BWA",0.0290804833774983,0.0377204157350252,0.0440364901763463
"28","CAF",0.035568092246945,0.0430793077972656,0.0492221976740256
"29","CAN",0.14215857955633,0.155983984181565,0.227699431608652
"30","CHE",0.0816898183222152,0.103900592671932,0.154767236383996
"31","CHL",0.11768261503264,0.125589510032367,0.142502563153889
"32","CIV",0.105846756417676,0.119729858693004,0.130139152445793
"33","CMR",0.108616685456625,0.131121324534001,0.151483699124531
"34","COD",0.0850481842513552,0.0974983334688617,0.111897665606884
"35","COG",0.199469747637657,0.225182607140297,0.252604541955983
"36","COL",0.0504217879700779,0.060511837737933,0.0748937437240239
"37","COM",0.0555126750978719,0.0649810486630992,0.073078521085893
"38","CPV",0.0612914483254444,0.0703217265152855,0.0764067207340283
"39","CRI",0.0836476281924404,0.0969018632859574,0.106830538731818
"40","CUB",0.130504302879694,0.184921872617415,0.220760259273131
"41","CYP",0.0828067994353705,0.106503510195349,0.129493525457365
"42","CZE",0.100706486933074,0.12117721736327,0.137868197544878
"43","DEU",0.154332198792691,0.166319463604293,0.181564612339543
"44","DJI",0.0872217256712102,0.105625535893884,0.119806572046696
"45","DNK",0.108439715847952,0.118814393333715,0.131482002686603
"46","DOM",0.033044740527296,0.0414801820615786,0.0519404092512858
"47","DZA",0.0336358584318809,0.0429889267507287,0.0566956345674846
"48","ECU",0.0420753741380809,0.0512339777232885,0.0654156411339512
"49","EGY",0.0707418285903169,0.0826980884604419,0.0935539380414822
"50","ERI",NA,NA,NA
"51","ESP",0.150009043790883,0.166761871138994,0.192422566586738
"52","EST",0.132624083628087,0.151465384966825,0.166487671557441
"53","ETH",0.211747686558269,0.257694369535487,0.289105546117571
"54","FIN",0.126410837060465,0.13585094531262,0.147035399640517
"55","FJI",0.074924728177394,0.0866408040430269,0.101634700325518
"56","FRA",0.152579564750442,0.182573292661703,0.239650984116965
"57","FSM",NA,NA,NA
"58","GAB",0.0785456371662559,0.0925537344542928,0.103479902737389
"59","GBR",0.110904558410497,0.149791777909394,0.235359574107052
"60","GEO",0.133209110696397,0.143549940024628,0.165864834054782
"61","GHA",0.104287716699579,0.116191932147713,0.128948628926148
"62","GIN",0.0839061946051977,0.096754151967388,0.112472474206366
"63","GMB",0.0597555045333822,0.0667461609886604,0.0740735895129907
"64","GNB",0.355627023325029,0.422301644670883,0.500025293316873
"65","GNQ",0.0427433980262969,0.0863130738158125,0.105997194127658
"66","GRC",0.162398337403944,0.176799805042981,0.189323804738334
"67","GRD",0.011253317172454,0.0153603136809019,0.0696826373076644
"68","GTM",0.0950069723289648,0.108440425381152,0.128842898975787
"69","GUY",0.100896942620807,0.113931808849778,0.122147547210634
"70","HND",0.0408064292541732,0.0528479697433507,0.0587676351365703
"71","HRV",0.13654014783074,0.159220155123369,0.174841788618244
"72","HTI",0.0254023812133705,0.0310585335078706,0.0374666618694024
"73","HUN",0.0873746657715804,0.104811690946434,0.140203216825249
"74","IDN",0.0691503430031314,0.0829367514797971,0.0954574991992304
"75","IND",0.0940106900824672,0.106414783601103,0.11126446771044
"76","IRL",0.126292801823678,0.134388299711651,0.139840657571052
"77","IRN",0.0473893237102311,0.0540613297198216,0.0653749529225056
"78","IRQ",0.0311711232030372,0.0396280504318338,0.0490862716542174
"79","ISL",0.131842151201758,0.20798796011397,0.263085018746832
"80","ISR",0.0905249068987214,0.100503415694224,0.111097433925947
"81","ITA",0.134854439016251,0.147949443688826,0.16189255090977
"82","JAM",0.0472180788259244,0.0582233766216382,0.0680906020194868
"83","JOR",0.082208433835528,0.091637474722012,0.0985817346943649
"84","JPN",0.0368608497454081,0.0463916624984718,0.05660755988541
"85","KAZ",0.0785818927026809,0.0868960201109615,0.0967716716236111
"86","KEN",0.0824829062855247,0.0948056866378062,0.103899464756737
"87","KGZ",0.036176099535314,0.0504610446475026,0.0693087545323854
"88","KHM",0.055654884179266,0.0587630745544053,0.0622177796500909
"89","KOR",0.131930897790803,0.151609533248119,0.172987907608113
"90","KWT",0.0476444700917685,0.0536222337311991,0.0610765196651928
"91","LAO",0.0775803160338936,0.082070504667334,0.087129932199098
"92","LBN",0.0921249399384556,0.108590111705653,0.123705565984623
"93","LBR",0.0278537662247811,0.0315432641390921,0.0359361339977261
"94","LBY",0.13088436415811,0.151570941861839,0.173822956669296
"95","LCA",0.0994733619950202,0.110793253698608,0.126752704780731
"96","LKA",0.0904426764392084,0.0964435734227565,0.107040411067232
"97","LSO",0.0215346445191696,0.0250090703881006,0.0285383921116047
"98","LTU",0.144670208575435,0.15914069330491,0.164971325987451
"99","LUX",0.111460409370121,0.131514567317335,0.177914914442962
"100","LVA",0.114370054118771,0.133934027459192,0.143491370283409
"101","MAR",0.0670530684043273,0.0775312828603201,0.0896203866266119
"102","MDA",0.0992189390892878,0.113671464811949,0.123021449878915
"103","MDG",0.0699091894231769,0.0890138810834443,0.102635434354331
"104","MDV",0.0759867461437859,0.0843544928574739,0.0987732261561461
"105","MEX",0.0599309284978159,0.0713795655281767,0.0801587066264602
"106","MKD",0.0976995775704779,0.116683453314987,0.134862832716361
"107","MLI",0.0860804230364567,0.122240950477399,0.148484813364217
"108","MLT",0.126757665979245,0.144560446907575,0.169536928334443
"109","MMR",0.0543274948618054,0.0645389633104777,0.0770196008459092
"110","MNE",0.0958163553959487,0.112926163907404,0.137379204551771
"111","MNG",0.0676937432586675,0.0725904781639458,0.0786529553326874
"112","MOZ",0.0257539823789118,0.0323770950241901,0.0409160589961625
"113","MRT",0.0666559718015869,0.0875530395404462,0.104060923282107
"114","MUS",0.0722924044166203,0.0811865547104884,0.0894394345829371
"115","MWI",0.159135969475535,0.170695335895437,0.179209007325967
"116","MYS",0.0798142264047566,0.0905431731113421,0.108811061490506
"117","NAM",0.0408517818973671,0.0546851681701562,0.0646429186428945
"118","NER",0.145606061373444,0.186215237765716,0.273824566874123
"119","NGA",0.219560865420365,0.239637616441315,0.253112610263534
"120","NIC",0.0154514059158215,0.018695218371243,0.0218269564416716
"121","NLD",0.108552255153173,0.121413475902454,0.138822842405562
"122","NOR",0.122793252380209,0.136375011233543,0.146975795052163
"123","NPL",0.0562815551271058,0.0638098527860432,0.083802522015552
"124","NZL",0.101901698585464,0.148158931258252,0.188154927040446
"125","OMN",0.0168104645760057,0.0223085023094894,0.0410078960356104
"126","PAK",0.053787863303356,0.0619178212010889,0.0749128777792752
"127","PAN",0.0629775034197612,0.0789493865878131,0.0979745121382426
"128","PER",0.0253814374761389,0.0354701340665357,0.047687837277892
"129","PHL",0.0822834801721842,0.0987946952563724,0.122184345625962
"130","PNG",0.0598469755539612,0.0768447232476445,0.0963936570539751
"131","POL",0.0959078502347715,0.105838991587582,0.113682530925849
"132","PRK",NA,NA,NA
"133","PRT",0.176820639562072,0.189054219740785,0.253879759909532
"134","PRY",0.0188899235319815,0.0233728424134387,0.0259804186916781
"135","QAT",0.0444402512519665,0.0602108019104039,0.0773916631567206
"136","ROU",0.105476283769086,0.124415423951193,0.140002801442029
"137","RUS",0.136399311739982,0.146630160321728,0.157226405159528
"138","RWA",0.0438283862298618,0.0504237086379218,0.057765473546899
"139","SAU",0.061813988599299,0.0687779960131283,0.0775174254536452
"140","SDN",0.0735891854180826,0.0996980578493134,0.127274192314082
"141","SEN",0.0953437038216119,0.109568010174667,0.122690593670106
"142","SGP",0.259759613890464,0.312558506943768,0.3264128394151
"143","SLB",NA,NA,NA
"144","SLE",0.0504120799755725,0.0746666701950392,0.0909889444144079
"145","SLV",0.0611547391096291,0.0716545793748992,0.0760607780429105
"146","SOM",0.0469218754545352,0.0534142949261653,0.0600798182434011
"147","SRB",0.107653604945707,0.126994267278864,0.147821152958679
"148","SSD",0.0417826443748233,0.0620341072678849,0.0752334021564357
"149","STP",0.0874485898131209,0.10565045989848,0.14837743064756
"150","SUR",0.0982379201995973,0.112937442059316,0.119771755101324
"151","SVK",0.104052623671571,0.122804663734818,0.132436870248463
"152","SVN",0.115705308066327,0.128977785752817,0.144387033443348
"153","SWE",0.0714200307289591,0.0807657561691839,0.0927715511294259
"154","SWZ",0.0365753482256861,0.0441499799195567,0.0516011248489786
"155","SYC",0.0567914245353962,0.0728492493105023,0.0961103079815256
"156","SYR",0.0399277613817224,0.0511810252391361,0.0642404684489375
"157","TCD",0.083466857183003,0.114491831026564,0.140174381078662
"158","TGO",0.0783321729519904,0.084821318151956,0.0923317596570594
"159","THA",0.100674562441636,0.124410120329056,0.145277706726148
"160","TJK",0.0297445350823312,0.0425047510071248,0.0534722800633445
"161","TKM",NA,NA,NA
"162","TLS",0.0751803628990299,0.082746058359031,0.0870352590139479
"163","TTO",0.0886593578107171,0.105371545847504,0.128494600340158
"164","TUN",0.0633551053501979,0.0731143786372661,0.0818853736115661
"165","TUR",0.0814009475739269,0.0949190878434769,0.104660623822358
"166","TZA",0.0509166539365828,0.069168499197665,0.0821526548446053
"167","UGA",0.174965245090082,0.202233445523084,0.217663845578317
"168","UKR",0.0959981566218316,0.113688612826644,0.129661909182284
"169","URY",0.14955973934073,0.202499661209519,0.249444308338097
"170","USA",0.112174798582798,0.122822172189244,0.133629861123452
"171","UZB",0.0383536646322585,0.0534377615257025,0.066264244967506
"172","VCT",0.0535740650749384,0.0741208240880302,0.135851163840019
"173","VEN",0.0351460622963187,0.0453971241385533,0.0639205014360667
"174","VNM",0.0975496561879809,0.118967680377927,0.145865727200046
"175","VUT",0.000133487894898734,0.000836437432563133,0.0443125256567257
"176","YEM",0.233895961406529,0.273189999210444,0.307445117553158
"177","ZAF",0.062657795727111,0.0772877764291256,0.0935828248237899
"178","ZMB",0.0709895104751427,0.0835750417967029,0.092971299857417
"179","ZWE",0.0461049871273197,0.0527644077377928,0.0599879559227293
