"","iso3c","mean_monqalys_pgdp_low","mean_monqalys_pgdp_med","mean_monqalys_pgdp_high"
"1","AFG",1182.07718520464,1272.6149632617,1341.7529600389
"2","AGO",2413.04376983847,2595.84848153638,2833.49863265109
"3","ALB",1302.38035243986,1587.4314814118,1762.02468936867
"4","ARE",5426.82136952734,6004.61972011269,7074.26717379801
"5","ARG",23049.4781333836,26840.81105747,31489.3331803359
"6","ARM",697.210052804787,791.706359574583,858.288896206146
"7","ATG",86.588044211901,100.638791889598,159.939907525012
"8","AUS",28889.5605231017,36469.8181264727,58396.1399830184
"9","AUT",10165.1890010374,10832.2152775223,11813.6051992493
"10","AZE",6976.01915960652,7748.72026954426,8153.44445533786
"11","BDI",0.00265275620277492,0.0110132839985567,0.018681543570536
"12","BEL",27207.9575394846,42819.2361436063,57262.2048812872
"13","BEN",189.824988211641,224.871661115584,262.739336580911
"14","BFA",119.308225610168,134.467658553994,166.713835131354
"15","BGD",19240.920914814,22476.6887539734,27913.6806732713
"16","BGR",4093.66156701054,4862.65436746433,5293.44401433195
"17","BHR",791.28406472463,891.40550520227,1078.99392689396
"18","BHS",251.036948976591,296.108758200185,325.734930995228
"19","BIH",1297.26265306424,1542.77661436159,1749.20680675454
"20","BLR",3864.76318922155,4480.88907892188,5422.80181602224
"21","BLZ",236.483269402983,294.406654468698,326.067427253543
"22","BOL",2012.09666649573,2307.4400565472,2514.6805218455
"23","BRA",196412.487107828,223136.271999748,238013.611200034
"24","BRB",116.805485218642,173.357222597043,238.446239845554
"25","BRN",443.152420730462,524.51193037805,674.788841670301
"26","BTN",413.775714763164,445.494552793328,481.476276945203
"27","BWA",306.294567938133,399.14522837356,468.192100411137
"28","CAF",76.6189786309368,92.5916835599326,105.956180183481
"29","CAN",79067.8915521137,86777.2912600411,128041.809910823
"30","CHE",9127.48099926668,11622.1706755868,17360.885646592
"31","CHL",36969.3383823695,39428.2785345415,45045.097509484
"32","CIV",1449.81504582876,1627.18148599114,1766.48649916349
"33","CMR",619.044796900035,740.736978669232,849.836970147124
"34","COD",35.4396546800636,40.60041545764,46.4774002272043
"35","COG",252.358093683612,282.390313113431,317.203260458597
"36","COL",21072.9137911713,25357.1380680792,31285.2201481634
"37","COM",133.728085822187,156.847505930105,176.65961473228
"38","CPV",151.84698585225,174.114690570004,189.745286425801
"39","CRI",4602.35762881219,5322.39166075273,5887.46164807705
"40","CUB",NA,NA,NA
"41","CYP",1310.20886436589,1677.78575984506,2035.80562168143
"42","CZE",12086.6754264389,14493.2197569256,16438.2264717156
"43","DEU",167627.829947298,180400.637894478,196267.406994541
"44","DJI",49.0928006143845,59.7840923944039,68.4079056844008
"45","DNK",9167.88400578626,10033.8494160783,11079.938495085
"46","DOM",3023.53499383871,3802.0339462102,4767.97565511923
"47","DZA",1771.59755179719,2263.26260895272,2982.47580853295
"48","ECU",8371.5309279107,10196.7608188407,13066.7404954172
"49","EGY",11225.8927896781,13092.439503646,14814.3635459245
"50","ERI",NA,NA,NA
"51","ESP",107536.764554736,119629.272800797,137663.377664859
"52","EST",1913.97034807459,2179.04841382765,2391.08299163893
"53","ETH",1919.75380210417,2328.29960782284,2624.69009078689
"54","FIN",9865.59855989516,10572.0739028577,11571.8940144575
"55","FJI",692.189714302036,808.613587798319,957.46344923078
"56","FRA",132188.100914165,158142.959990546,210004.404739817
"57","FSM",0.000101509574117338,0.0137522458346734,3.22428466439969
"58","GAB",187.930991165129,221.008865421067,245.910114495951
"59","GBR",98243.3865069684,134308.527551074,210944.613150286
"60","GEO",2043.54625517529,2193.11295613678,2530.84620495936
"61","GHA",1271.88191519911,1424.77967859719,1582.34131829303
"62","GIN",651.027665067014,747.070374074568,868.67745356108
"63","GMB",87.5328755413418,97.6937142654693,108.391859172512
"64","GNB",46.2545043560703,54.4998485248824,64.8536011968031
"65","GNQ",135.831673132039,278.073593568077,342.696264486226
"66","GRC",20185.7698864281,21925.4963781349,23459.4636864961
"67","GRD",5.68302521750624,7.82643255419066,36.3473350458797
"68","GTM",6323.23373956609,7217.58020480313,8676.32983496197
"69","GUY",509.14733754066,572.532588175576,614.164101159623
"70","HND",1502.86146188329,1941.5470596799,2157.79091519019
"71","HRV",4696.48516073577,5475.40321378692,6002.63636196902
"72","HTI",15.6214936238993,19.1682198791366,23.0459250383533
"73","HUN",8947.32523066383,10849.9067790424,14603.8803406443
"74","IDN",108948.536347468,131458.689295619,151157.769906491
"75","IND",437487.202352106,494009.434158309,517706.411108417
"76","IRL",9214.11895646641,9775.09130263838,10169.5369497911
"77","IRN",22432.8747554296,25651.3985948961,31147.0981299688
"78","IRQ",2376.32722779151,3080.10528441508,3783.65189028873
"79","ISL",668.976005611417,1043.94298914165,1313.69689661969
"80","ISR",9695.47738737986,10741.3085636695,11873.2204021208
"81","ITA",112809.533572128,123378.601282049,134596.747990469
"82","JAM",379.546577225294,472.05770044854,553.874020931087
"83","JOR",3193.11403387861,3564.75550651676,3823.42610961628
"84","JPN",69581.8368552913,87784.9917623251,107229.205876187
"85","KAZ",10070.2601219821,11050.9696150269,12327.605365363
"86","KEN",2377.72839363751,2721.02937560258,2995.59315197229
"87","KGZ",317.835089671835,447.880867715761,619.658562150481
"88","KHM",7332.89515783206,7741.49336154593,8185.40276065859
"89","KOR",107316.880065594,123060.091953228,139731.419755524
"90","KWT",3140.10895481456,3530.80064017505,4029.66101338441
"91","LAO",2512.70655554438,2658.27262110397,2822.36543121276
"92","LBN",1551.2796479416,1834.0395360621,2100.43045854086
"93","LBR",102.981439590416,116.560293089363,132.59604106804
"94","LBY",1536.74971161373,1785.07379445503,2046.94965479122
"95","LCA",71.6424147838604,79.7636248438156,91.1893391146178
"96","LKA",11927.350360026,12704.414684541,14092.3883782782
"97","LSO",114.610979951857,134.144811146938,153.98736499994
"98","LTU",4588.95180094336,5041.56592420809,5225.75144285447
"99","LUX",935.116270969427,1103.71329286239,1505.44783332915
"100","LVA",2532.36457096721,2958.4041558352,3156.16830649749
"101","MAR",14668.4886313945,17101.5246918279,19904.3050252471
"102","MDA",1463.06579789799,1668.02346804138,1794.34808690445
"103","MDG",242.477703148802,310.191441538742,357.471441647515
"104","MDV",488.205963496118,540.491043368902,643.89532599947
"105","MEX",63036.2215753516,74786.3716165808,84000.4972165372
"106","MKD",1173.73672032548,1401.17373762639,1625.48223962829
"107","MLI",184.691926971982,262.979024710469,319.256344356457
"108","MLT",888.75001478393,1009.91385780113,1192.31238654972
"109","MMR",6336.8776369065,7630.0313353018,9105.23662829232
"110","MNE",379.360060501735,446.571235740107,541.122608492164
"111","MNG",1401.918004605,1503.80698815144,1630.20050727374
"112","MOZ",675.458382983535,852.121419441921,1076.13772728243
"113","MRT",450.774072886595,591.784501218154,707.327776658707
"114","MUS",1021.86962846255,1148.61288717023,1267.26559471612
"115","MWI",611.040847225704,654.237565545488,688.59768063349
"116","MYS",32598.570130413,37338.0149836752,45381.1357331287
"117","NAM",183.319761091398,245.700290277297,290.49479642275
"118","NER",531.055298909651,701.021741261414,1074.5776614911
"119","NGA",7911.07969836281,8618.58972088761,9090.63098300713
"120","NIC",368.946853079837,444.788672634729,521.693121724486
"121","NLD",24842.2562824187,27845.7183403623,31796.7637614692
"122","NOR",9166.4919962545,10145.0784764055,10921.8497763985
"123","NPL",4670.01176396372,5287.27198227018,6994.95741004865
"124","NZL",7238.333411402,10430.1393746571,13219.8174482639
"125","OMN",885.909436629484,1194.62221985472,2275.07039510562
"126","PAK",27065.2319774632,31441.9885461448,38118.9420562536
"127","PAN",2981.22402231376,3739.91302267732,4665.58827145502
"128","PER",8029.82313510593,11196.6180840411,15238.3232163293
"129","PHL",30465.2968771564,37077.3928979716,46668.3682333582
"130","PNG",114.992050655972,148.152318687572,186.317273088464
"131","POL",36763.6104279273,40422.5797047442,43421.3389264339
"132","PRK",NA,NA,NA
"133","PRT",29563.361933296,31610.3157477452,42682.5075610896
"134","PRY",776.307309227515,954.525226244949,1060.93693852274
"135","QAT",2025.01073585974,2761.26577261665,3590.95377336272
"136","ROU",12964.8971290971,15280.8292664381,17270.4828195578
"137","RUS",119664.697017215,128261.175043988,137709.373352429
"138","RWA",1195.8923243479,1384.17902079355,1593.21658664134
"139","SAU",27599.2544850879,30739.0050655381,34707.3396417951
"140","SDN",513.667192951739,695.966191334067,883.097793181457
"141","SEN",817.798035078652,941.250236231103,1055.95090090954
"142","SGP",25706.9486804931,31259.2446829649,32702.9996789773
"143","SLB",1.88338982066995,25.945479010361,117.443509723159
"144","SLE",117.220276877144,175.855331783943,214.607143853487
"145","SLV",4056.36649044312,4744.61520372928,5037.1430377242
"146","SOM",187.374499560607,213.029008825773,240.161464873304
"147","SRB",6424.67200470111,7582.46503647166,8808.05675946622
"148","SSD",NA,NA,NA
"149","STP",42.1008104061058,50.375308768563,72.6264559458666
"150","SUR",338.085009166213,387.52766938549,411.106377328357
"151","SVK",4865.29816970573,5737.41668021537,6184.4064812235
"152","SVN",2547.09043567398,2835.61068732791,3164.41818581399
"153","SWE",9935.2547021644,11211.9268716944,12841.563809321
"154","SWZ",90.8336224866913,109.440002705032,128.160671661969
"155","SYC",83.3943578833442,107.170432070196,141.467328841441
"156","SYR",186.221264229114,240.247241106241,298.781100928984
"157","TCD",39.8488760117126,54.2191617164344,66.3351782455882
"158","TGO",381.867809758772,411.930959263586,451.754624540018
"159","THA",70954.2903399744,87514.1858499359,102244.983372457
"160","TJK",769.023915787853,1102.15579495436,1389.89629073097
"161","TKM",1819.57768531058,2668.97727714632,3219.09597311097
"162","TLS",358.39042967888,391.667118261315,411.647625231712
"163","TTO",1096.17402015042,1301.19025506401,1575.28496856562
"164","TUN",3160.4603946619,3644.67634728128,4111.34836108813
"165","TUR",67323.5114193013,78318.5270943819,86060.0009286794
"166","TZA",509.081231982395,697.056777912826,823.08172404111
"167","UGA",1446.70804266459,1635.9643182282,1785.58389402242
"168","UKR",10608.8242271405,12532.513547471,14288.9321123874
"169","URY",7676.45455729582,10383.5297346484,12717.3469321981
"170","USA",421713.850211375,461296.072585375,502244.264662665
"171","UZB",4018.2291848639,5590.92839267551,6947.62732882164
"172","VCT",20.3851071183455,27.9146897387509,51.041681681195
"173","VEN",NA,NA,NA
"174","VNM",52915.2855624484,65020.9168244983,80268.8687609484
"175","VUT",0.0496105520845979,0.348166917624978,19.5296705878319
"176","YEM",NA,NA,NA
"177","ZAF",14104.0013004065,17725.1462674156,21720.812168647
"178","ZMB",506.292454527768,589.715666681621,653.125483637597
"179","ZWE",1247.21387164374,1428.96663634529,1628.43931915406
