"","iso3c","discqalys_averted_sum_low","discqalys_averted_sum_med","discqalys_averted_sum_high"
"1","AFG",214678.810546117,230862.476703965,243344.158193006
"2","AGO",283404.672821009,305459.231894751,333123.653196774
"3","ALB",88069.5775578806,107051.145623557,118697.611375637
"4","ARE",312212.506767183,344812.095661813,398969.005182907
"5","ARG",1612171.08920167,1876860.36874636,2202007.7083677
"6","ARM",48562.7128577878,55076.0746623668,59655.2935080528
"7","ATG",4904.32298677983,5678.65247182061,8738.46793547191
"8","AUS",1604203.55810693,1978015.84363413,3092778.11851426
"9","AUT",579668.392864858,614112.716681597,667720.386712975
"10","AZE",475783.871337544,527817.242959063,554912.131137517
"11","BDI",0.718799986233776,2.12574154695979,3.87334763995544
"12","BEL",1544283.19760517,2362918.90494924,3148455.72959968
"13","BEN",22695.0381152289,26982.3910989375,31853.1629007116
"14","BFA",20984.9674501896,23787.7853228435,29871.3927398076
"15","BGD",2174258.43832957,2540601.09019843,3146849.45295333
"16","BGR",299133.191737041,356379.404388536,388689.068261683
"17","BHR",44938.1177116233,50263.1316033482,60670.5015109717
"18","BHS",14447.3262191822,16985.896317778,18662.4010357362
"19","BIH",90730.0403573194,108212.828281251,123157.398347913
"20","BLR",271939.907877065,315013.927758341,380731.033288335
"21","BLZ",15374.5433273738,19061.6309300142,20879.3046532037
"22","BOL",233325.616045079,267483.330822848,291731.671073361
"23","BRA",13129661.8662966,14865526.2412177,15886571.2010317
"24","BRB",7171.53281993428,10492.8854665011,14086.6947367158
"25","BRN",25140.1145053554,29213.4263639816,37511.6514767832
"26","BTN",46776.184447042,50249.755560445,53740.5782375803
"27","BWA",22456.3330538864,29187.954552807,34118.8023973026
"28","CAF",14624.6274983926,17689.8068811752,20558.3502076412
"29","CAN",4395543.80775897,4812613.4361198,6928265.12001556
"30","CHE",499909.468137193,630118.084393186,932921.997776732
"31","CHL",2075061.01268134,2208262.03758286,2486680.39829591
"32","CIV",172868.898133976,194713.936646652,211105.398644251
"33","CMR",73856.1917484167,88487.4454762382,101817.318974764
"34","COD",6258.75052665878,7182.17273567027,8232.84896147535
"35","COG",30016.8909859942,33525.5144752781,37687.3268648828
"36","COL",1401387.06099202,1678571.15131611,2065938.71340963
"37","COM",15477.1106344185,18040.3033922408,20308.9405205983
"38","CPV",16972.5905619345,19288.6925981558,20908.3105924612
"39","CRI",294109.914732472,339008.865449965,373176.883191725
"40","CUB",1302169.43308336,1823707.34474416,2169715.42967268
"41","CYP",71079.8239250498,90914.3207638479,110074.722694087
"42","CZE",691250.727387675,827156.818287517,939542.708808734
"43","DEU",9429833.45125279,10147054.8465284,11065577.3156817
"44","DJI",5955.62147935752,7192.62071040495,8147.33884635306
"45","DNK",517704.867777426,565517.261081643,624106.378676899
"46","DOM",213304.118911691,265620.227795472,329150.906654478
"47","DZA",210294.292706952,261332.651399699,343515.359253808
"48","ECU",561746.600099191,678009.374235154,869815.964344545
"49","EGY",1301989.20217736,1517878.58799926,1716950.78097028
"50","ERI",0,0,0
"51","ESP",6003279.60222385,6664713.26449044,7655714.71165723
"52","EST",111776.714435974,127457.099312765,139976.505352439
"53","ETH",333001.41887459,401293.419531636,448170.147900166
"54","FIN",545539.462263429,586018.429789363,630278.368184292
"55","FJI",47601.3300588661,54550.9617365712,63356.780069348
"56","FRA",7480694.71090863,8905098.72765313,11605248.054798
"57","FSM",0.0128866497843437,1.98139872317943,407.588391168274
"58","GAB",13329.4296141133,15514.4430884473,17210.9760493227
"59","GBR",5468578.62427564,7321077.95091749,11430868.4361108
"60","GEO",144782.664119126,155865.420987269,179938.777705169
"61","GHA",151312.135036607,168167.057062495,186568.158582098
"62","GIN",78987.5026554579,90498.267008466,104828.294113934
"63","GMB",15083.8594061055,16772.3692475473,18573.3701421204
"64","GNB",8355.71247615289,9838.59365375056,11835.0450888446
"65","GNQ",10608.3801808632,19952.0905392994,23880.5349204141
"66","GRC",1152360.95429274,1253065.76229197,1340089.08350925
"67","GRD",408.97384794434,567.038822038327,2515.90158322951
"68","GTM",426709.149405765,481583.07337839,567728.899773464
"69","GUY",30728.6546726476,34454.1169121063,36948.1317508072
"70","HND",172169.002828945,220068.399205454,243511.813615508
"71","HRV",276668.889808352,322705.483532791,354245.37325657
"72","HTI",1895.17963050553,2323.68189964125,2801.80869984201
"73","HUN",557459.854035302,664643.453840177,883585.539644518
"74","IDN",7497156.84105092,9010247.81356471,10319481.6074769
"75","IND",49510437.0757719,55809539.9389684,58334405.8160711
"76","IRL",517758.746792928,549757.473112299,571821.67484803
"77","IRN",2449083.49370743,2802052.95738114,3381699.91299102
"78","IRQ",167208.094996754,213024.12602658,261608.867996163
"79","ISL",37303.5411646638,57959.3338183396,72678.8362365993
"80","ISR",538313.711816725,595749.786650041,652409.155540628
"81","ITA",6333915.94058713,6961482.14144707,7596868.06398278
"82","JAM",26864.3819948052,33009.4787771319,38441.4357761911
"83","JOR",335586.563148267,374233.29553266,403424.367173764
"84","JPN",3920672.83037379,4910921.79674056,5979064.74213023
"85","KAZ",678794.611039321,745098.052761124,829388.344388398
"86","KEN",272284.580939289,310862.213152473,342287.236272332
"87","KGZ",37347.0567493139,51230.757160967,69487.558410685
"88","KHM",839649.463163915,886474.275688695,939988.794162761
"89","KOR",5900784.84483374,6761477.69437457,7684191.07568428
"90","KWT",163197.748965222,182701.98264941,211457.940096673
"91","LAO",283064.387875204,299151.919416536,317308.953907039
"92","LBN",175091.486223018,206000.385093461,234909.159918393
"93","LBR",17704.8872860749,20255.4106050487,23010.7747818864
"94","LBY",102165.916772803,117312.914737468,133822.603745582
"95","LCA",4976.29279978306,5516.31860862063,6317.35803447408
"96","LKA",1348850.99587686,1437284.57026913,1594819.11868118
"97","LSO",15159.5120829442,17607.4368516299,20231.8941935549
"98","LTU",277127.530815504,304909.248033135,315797.762845397
"99","LUX",51220.2035831774,60055.8401495816,80208.296679704
"100","LVA",148869.94831187,173827.359673972,185811.701716121
"101","MAR",1652355.44936335,1896559.76483129,2173185.33812089
"102","MDA",100566.920436836,114607.594244127,123880.200889678
"103","MDG",42409.5536716827,53871.2032742225,61927.5889127429
"104","MDV",31198.6548866123,34399.2496316007,39987.6580038946
"105","MEX",4154285.66576353,4918353.81969153,5514804.48868884
"106","MKD",82379.6192258082,98124.3071573842,113320.876857028
"107","MLI",32937.3815293496,45765.811767239,55354.0742896659
"108","MLT",50315.7326751849,57141.4375223998,66639.0744053317
"109","MMR",742771.263974808,887149.203363702,1063872.36133954
"110","MNE",26282.1161104165,30983.7804974621,37679.8690410945
"111","MNG",159376.97079814,170827.147050606,184989.913753273
"112","MOZ",122487.423602596,154569.977691474,195646.476346219
"113","MRT",50961.2693041034,66741.4613965235,79397.0442632015
"114","MUS",69324.3760756513,77906.8067370173,86285.4852738992
"115","MWI",105710.133707168,113149.464774413,118936.566240249
"116","MYS",2196209.20456364,2475487.1112162,2946879.00501603
"117","NAM",13483.7368476488,17959.3608308229,21036.4465853612
"118","NER",94274.1302895077,117088.015352535,168971.829979603
"119","NGA",917067.143104843,999028.812647294,1057015.62983353
"120","NIC",41975.714519061,50697.361976429,59593.6318047394
"121","NLD",1404669.94531049,1564972.98492719,1781361.11072744
"122","NOR",505569.039958373,559774.170547919,603037.544263554
"123","NPL",541005.818912099,611715.812130074,798920.898053744
"124","NZL",398904.744379146,565698.690682738,710439.882362365
"125","OMN",54067.2011525976,76648.4058411921,147594.171568193
"126","PAK",3192069.89108884,3682075.97135762,4457400.9902591
"127","PAN",169186.756643586,210740.519903524,260624.354845519
"128","PER",547678.402601039,764970.279442158,1027701.22695285
"129","PHL",3456510.97738874,4104377.02883905,4998987.83611896
"130","PNG",13773.0481506607,17594.9071979298,22067.0100942555
"131","POL",2102063.18643233,2314389.30316169,2484980.17876742
"132","PRK",0,0,0
"133","PRT",1687745.83166269,1803181.41118574,2395162.71482871
"134","PRY",54497.099267678,66793.9932411701,74264.6602372732
"135","QAT",112052.242272353,152813.78481477,193876.051307777
"136","ROU",774813.699179391,914267.053926746,1028742.95059662
"137","RUS",8422159.94165288,9031800.77958437,9696244.94446756
"138","RWA",203006.974687135,234634.530340734,268824.27011892
"139","SAU",1531110.6646173,1715191.52477224,1946292.76759011
"140","SDN",92517.6980562577,124602.865404391,158730.957416999
"141","SEN",99132.5294526425,113401.332393405,125451.12966448
"142","SGP",1366519.25835364,1631660.67964443,1701483.36997567
"143","SLB",297.695870835044,3935.34298138278,15855.5421736754
"144","SLE",21290.2531383099,31022.4419751252,37567.8419393495
"145","SLV",270678.01200501,316523.180594419,336185.034163611
"146","SOM",34295.3174234782,39333.0241218648,44400.6617836226
"147","SRB",453290.601631006,535185.554011258,622707.004039459
"148","SSD",8148.86845104423,11820.5227746619,14327.2470112198
"149","STP",4818.80842035301,5713.30201487355,7909.47924305207
"150","SUR",22956.1385101762,26215.3687620344,27816.3230992699
"151","SVK",283034.14425243,333636.7641853,359619.963683513
"152","SVN",142371.541885289,158786.613570221,177613.864928224
"153","SWE",550809.4728286,620119.258183401,710657.195321157
"154","SWZ",11310.0814699661,13526.6757305126,15793.6042780526
"155","SYC",4945.85955920536,6309.41072490513,8312.33126416942
"156","SYR",31938.0189504253,40796.7041815719,50925.8174534297
"157","TCD",7185.7928714925,9837.44600558,12075.0681601013
"158","TGO",66108.9113158069,71213.9619015554,77972.346219406
"159","THA",4695491.73288082,5757615.54776152,6699573.9888821
"160","TJK",92957.006152351,131967.905498205,167897.943424069
"161","TKM",128386.047412466,183554.996729724,220672.565054305
"162","TLS",39947.9297498981,43423.1471142058,45593.6838696281
"163","TTO",61822.2371851677,73009.4633950707,88501.412252111
"164","TUN",355949.14985151,411376.327476962,463117.199728846
"165","TUR",4375286.44989822,5086809.84786178,5603084.17600119
"166","TZA",60853.1185147967,82303.9014366483,98786.4535640066
"167","UGA",246543.67964974,278141.393115104,302789.983093747
"168","UKR",1230187.89719964,1456887.96988018,1662495.28110886
"169","URY",420967.249073937,566275.183512275,694137.962228125
"170","USA",24374774.3066637,26636035.6898359,29044063.5811356
"171","UZB",451024.539945411,621183.459422962,769454.902869243
"172","VCT",1391.23537445724,1906.77073713381,3404.11119762348
"173","VEN",416727.660915118,531499.382326407,747578.089315228
"174","VNM",5906603.46853444,7145757.5998789,8685328.39421517
"175","VUT",6.83020982057102,66.1827463119489,3122.78913347346
"176","YEM",65693.0883102763,76293.8765097612,85500.0072744232
"177","ZAF",1030186.3339307,1268057.33925394,1506756.24753007
"178","ZMB",60064.5998887903,69568.930523565,76910.0292551758
"179","ZWE",151513.86163123,173941.426911809,195876.988068297
